StudentID,IssueDate,DueDate,ReturnDate,FineAmount,RenewalCount,ReservationStatus,BookID
S4173,29/04/2024,13/05/2024,13/05/2024,0,2,Not Reserved,B0553
S1876,06/01/2023,20/01/2023,20/01/2023,0,3,Not Reserved,B0023
S7222,28/02/2022,14/03/2022,14/03/2022,0,0,Not Reserved,B0758
S3843,12/08/2024,26/08/2024,12/09/2024,170,2,Waiting,B0085
S6819,18/01/2022,01/02/2022,01/02/2022,0,3,Not Reserved,B0924
S4283,17/05/2024,31/05/2024,02/05/2024,0,1,Available,B0387
S9960,23/09/2024,07/10/2024,07/10/2024,0,2,Waiting,B0082
S9749,08/08/2023,22/08/2023,31/07/2023,0,0,Reserved,B0306
S0037,01/11/2024,15/11/2024,15/11/2024,0,1,Reserved,B0970
S2164,10/11/2024,24/11/2024,24/11/2024,0,2,Not Reserved,B0052
S3125,15/09/2022,29/09/2022,06/09/2022,0,3,Reserved,B0436
S8922,19/03/2023,02/04/2023,02/04/2023,0,3,Not Reserved,B0985
S1250,29/12/2023,12/01/2024,12/01/2024,0,2,Waiting,B0724
S8222,05/09/2022,19/09/2022,19/09/2022,0,2,Available,B0585
S6773,29/10/2023,12/11/2023,09/11/2023,0,2,Reserved,B0740
S9792,21/06/2022,05/07/2022,05/07/2022,0,0,Not Reserved,B0186
S3989,31/12/2022,14/01/2023,14/01/2023,0,3,Not Reserved,B0120
S6449,26/09/2022,10/10/2022,10/10/2022,0,0,Not Reserved,B0585
S8752,09/04/2022,23/04/2022,23/04/2022,0,3,Reserved,B0508
S0392,05/07/2023,19/07/2023,06/08/2023,180,2,Available,B0034
S4870,06/01/2023,20/01/2023,12/01/2023,0,2,Reserved,B0568
S9745,24/12/2023,07/01/2024,07/01/2024,0,0,Waiting,B0274
S3533,03/01/2023,17/01/2023,16/02/2023,300,3,Not Reserved,B0401
S7605,21/09/2024,05/10/2024,21/10/2024,160,1,Not Reserved,B0373
S9663,05/06/2024,19/06/2024,19/06/2024,0,0,Not Reserved,B0813
S2918,21/04/2024,05/05/2024,05/05/2024,0,0,Available,B1020
S1889,14/07/2022,28/07/2022,16/08/2022,190,1,Not Reserved,B0363
S8147,18/01/2022,01/02/2022,05/02/2022,40,0,Not Reserved,B0319
S5576,11/12/2022,25/12/2022,25/12/2022,0,3,Reserved,B0188
S6877,13/01/2022,27/01/2022,27/01/2022,0,2,Reserved,B0890
S5753,18/07/2024,01/08/2024,01/08/2024,0,2,Available,B0594
S0385,17/11/2023,01/12/2023,17/12/2023,160,2,Available,B0195
S3999,05/02/2024,19/02/2024,19/02/2024,0,0,Waiting,B0986
S8680,13/05/2024,27/05/2024,02/06/2024,60,2,Available,B0250
S4412,03/11/2024,17/11/2024,17/11/2024,0,3,Waiting,B0990
S7850,23/02/2022,09/03/2022,09/03/2022,0,2,Available,B0700
S4021,04/08/2022,18/08/2022,24/07/2022,0,0,Not Reserved,B0529
S3514,12/02/2022,26/02/2022,06/03/2022,80,0,Not Reserved,B0410
S8408,26/10/2024,09/11/2024,09/11/2024,0,0,Available,B0760
S3511,18/11/2023,02/12/2023,02/12/2023,0,2,Waiting,B0296
S5411,05/06/2024,19/06/2024,19/06/2024,0,0,Not Reserved,B0336
S3662,17/09/2024,01/10/2024,01/10/2024,0,2,Reserved,B0841
S4391,19/11/2024,03/12/2024,03/12/2024,0,1,Not Reserved,B0270
S2682,21/09/2024,05/10/2024,05/10/2024,0,2,Not Reserved,B0433
S7294,15/03/2023,29/03/2023,26/03/2023,0,3,Not Reserved,B0989
S7936,10/11/2024,24/11/2024,30/10/2024,0,2,Not Reserved,B0196
S0943,04/12/2023,18/12/2023,30/12/2023,120,2,Not Reserved,B0916
S1753,28/01/2023,11/02/2023,11/02/2023,0,3,Not Reserved,B0339
S7147,18/02/2023,04/03/2023,04/03/2023,0,3,Not Reserved,B0543
S8560,17/12/2022,31/12/2022,31/12/2022,0,1,Not Reserved,B0461
S8168,18/12/2024,01/01/2025,22/01/2025,210,1,Reserved,B0692
S7513,11/06/2022,25/06/2022,18/06/2022,0,0,Available,B1039
S8732,17/04/2024,01/05/2024,22/05/2024,210,0,Reserved,B0174
S9871,26/03/2023,09/04/2023,09/04/2023,0,2,Waiting,B0112
S7650,04/06/2024,18/06/2024,28/05/2024,0,0,Available,B0216
S7603,22/04/2022,06/05/2022,06/05/2022,0,0,Not Reserved,B0300
S5961,17/08/2022,31/08/2022,31/08/2022,0,0,Available,B1012
S5632,12/10/2023,26/10/2023,21/10/2023,0,3,Available,B0805
S0552,17/07/2022,31/07/2022,31/07/2022,0,2,Not Reserved,B0758
S0298,28/12/2023,11/01/2024,11/01/2024,0,0,Waiting,B0067
S3666,16/06/2022,30/06/2022,30/06/2022,0,1,Available,B0609
S1242,11/05/2023,25/05/2023,10/06/2023,160,2,Not Reserved,B0498
S4391,02/12/2024,16/12/2024,16/12/2024,0,3,Reserved,B0661
S3799,11/04/2022,25/04/2022,25/04/2022,0,0,Available,B0267
S4168,24/10/2023,07/11/2023,22/11/2023,150,1,Available,B1012
S4928,25/04/2022,09/05/2022,17/04/2022,0,2,Available,B1019
S3930,24/04/2022,08/05/2022,09/05/2022,10,2,Not Reserved,B0235
S6142,26/12/2023,09/01/2024,09/01/2024,0,1,Not Reserved,B0078
S9975,13/09/2024,27/09/2024,03/10/2024,60,2,Reserved,B0272
